CodObr,NumPar,NumSec,Cont,FechaIni,FechaFin,CanPar,CantDias,RenPar2,PartBase,Porcentaje
"576PDVS2",114,1,,"04/27/23 00:00:00","06/30/23 00:00:00",1.1520000000000000e+03,4.7000000000000000e+01,2.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",115,1,,"04/27/23 00:00:00","06/30/23 00:00:00",1.1520000000000000e+03,4.7000000000000000e+01,2.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",116,1,,"04/27/23 00:00:00","08/25/23 00:00:00",3.4560000000000000e+03,8.7000000000000000e+01,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",117,1,,"04/27/23 00:00:00","07/17/23 00:00:00",2.3040000000000000e+03,5.8000000000000000e+01,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",118,1,,"04/27/23 00:00:00","04/28/23 00:00:00",1.1520000000000000e+03,2.0000000000000000e+00,8.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",119,1,,"04/27/23 00:00:00","06/20/23 00:00:00",1.1520000000000000e+03,3.9000000000000000e+01,3.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",120,1,,"04/27/23 00:00:00","06/20/23 00:00:00",1.1520000000000000e+03,3.9000000000000000e+01,3.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",121,1,,"04/27/23 00:00:00","05/30/23 00:00:00",1.1520000000000000e+03,2.4000000000000000e+01,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",122,1,,"04/27/23 00:00:00","05/24/23 00:00:00",5.7600000000000000e+02,2.0000000000000000e+01,3.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",123,1,,"04/27/23 00:00:00","06/01/23 00:00:00",1.2800000000000000e+02,2.6000000000000000e+01,5.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",124,1,,"04/27/23 00:00:00","06/06/23 00:00:00",5.7600000000000000e+02,2.9000000000000000e+01,2.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",125,1,,"04/27/23 00:00:00","07/17/23 00:00:00",5.7600000000000000e+02,5.8000000000000000e+01,1.0000000000000000e+01,0,0.0000000000000000e+00
