CodPar,CodIns,CanIns,Deprec,Contad,CodAlt
"P0005861","EQUI0229",1.0000000000000000e+00,1.0000000000000000e-02,30419,
"P0005861","EQUI0238",1.0000000000000000e+00,1.0000000000000000e+00,30420,
"P0005861","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30421,
"P0005861","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30422,
"P0005861","EQUI0042",1.0000000000000001e-01,1.0000000000000000e+00,30423,
"P0005861","EQUI0080",1.0000000000000000e+00,1.0000000000000000e-02,30424,
"UP333","COP078",2.5000000000000000e-01,1.0000000000000000e+00,30506,
"UP333","PIN013",1.0000000000000000e+00,7.0000000000000007e-02,30507,
"UP333","ALB138",1.0000000000000000e+00,1.0000000000000000e-02,30508,
"UP333","ALB136",1.0000000000000000e+00,1.0000000000000000e-02,30509,
"UP333","MED015",1.0000000000000000e+00,2.0000000000000000e-02,30510,
"UP333","ALB137",1.0000000000000000e+00,2.1999999999999999e-02,30511,
"UP333","ALB051",1.0000000000000000e+00,1.0000000000000000e-02,30512,
"P0005862","EQUI0143",1.0000000000000000e+00,3.5000000000000001e-03,30425,
"P0005862","EQUI0201",5.0000000000000000e-01,2.0000000000000000e-03,30426,
"P0005862","EQUI0330",2.0000000000000000e+00,3.5000000000000001e-03,30427,
"P0005862","EQUI0181",1.0000000000000000e+00,3.5000000000000001e-03,30428,
"P0005864","EQUI0031",1.0000000000000001e-01,1.0000000000000000e+00,30429,
"P0005864","EQUI0229",2.0000000000000000e+00,1.0000000000000000e-02,30430,
"P0000035","EQUI0028",1.0000000000000000e+00,1.0000000000000000e-03,30053,
"P0000035","EQUI0344",1.0000000000000000e+00,1.1000000000000001e-03,30054,
"P0000035","EQUI0277",1.0000000000000000e+00,1.0000000000000000e-03,30055,
"P0000035","EQUI0214",6.0000000000000000e+00,3.0000000000000001e-03,30056,
"P0000035","EQUI0074",2.0000000000000000e+00,1.0000000000000000e-02,30057,
"P0000110","COP078",1.0000000000000000e+00,1.0000000000000000e+00,30059,
"P0000147","EQUI0284",3.0000000000000000e+00,1.0000000000000000e-02,30060,
"P0000147","EQUI0015",2.0000000000000000e+00,1.0000000000000000e-02,30061,
"P0000147","EQUI0279",1.0000000000000000e+01,1.0000000000000000e-02,30062,
"P0000160","EQUI0284",2.0000000000000000e+00,1.0000000000000000e-02,30063,
"P0000160","EQUI0279",2.0000000000000000e+00,1.0000000000000000e-02,30064,
"P0000160","EQUI0243",1.0000000000000001e-01,8.0000000000000002e-03,30065,
"P0000160","EQUI0061",4.0000000000000000e+00,3.5000000000000001e-03,30066,
"P0000164","EQUI0311",2.0000000000000000e+00,1.0000000000000000e+00,30067,
"P0000164","EQUI0284",4.0000000000000000e+00,1.0000000000000000e-02,30068,
"P0000164","EQUI0015",2.0000000000000000e+00,1.0000000000000000e-02,30069,
"P0000164","EQUI0279",4.0000000000000000e+00,1.0000000000000000e-02,30070,
"P0000164","EQUI0061",2.0000000000000000e+00,3.5000000000000001e-03,30071,
"P0000173","EQUI0091",2.0000000000000000e+00,1.0000000000000000e+00,30072,
"P0000173","EQUI0279",8.0000000000000000e+00,1.0000000000000000e-02,30073,
"P0000173","EQUI0243",2.0000000000000000e+00,8.0000000000000002e-03,30074,
"P0000173","EQUI0061",4.0000000000000000e+00,3.5000000000000001e-03,30075,
"P0000176","EQUI0259",1.0000000000000000e+00,1.0000000000000000e+00,30076,
"P0000176","EQUI0284",2.0000000000000000e+00,1.0000000000000000e-02,30077,
"P0000176","EQUI0279",8.0000000000000000e+00,1.0000000000000000e-02,30078,
"P0000176","EQUI0243",1.0000000000000000e+00,8.0000000000000002e-03,30079,
"P0000176","EQUI0061",2.0000000000000000e+00,3.5000000000000001e-03,30080,
